contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
SPY250221C00495000,2025-01-22 16:01:09+00:00,495.0,113.56,114.09,114.71,0.0,0.0,1.0,31,0.48993429992675785,True,REGULAR,USD,call
SPY250221C00500000,2025-01-22 20:50:27+00:00,500.0,109.02,109.12,109.78,0.0,0.0,51.0,630,0.4739432489013672,True,REGULAR,USD,call
SPY250221C00505000,2025-01-22 14:55:04+00:00,505.0,103.68,104.56,104.7,0.0,0.0,3.0,673,0.4513604669189454,True,REGULAR,USD,call
SPY250221C00510000,2025-01-23 14:48:30+00:00,510.0,98.53,99.6,99.73,0.19000244,0.19320972,1.0,982,0.4337214831542969,True,REGULAR,USD,call
SPY250221C00515000,2025-01-22 17:20:12+00:00,515.0,95.08,94.33,94.85,0.0,0.0,2.0,296,0.41962250305175786,True,REGULAR,USD,call
SPY250221C00520000,2025-01-21 16:11:51+00:00,520.0,83.21,89.68,89.82,0.0,0.0,5.0,411,0.39942006835937505,True,REGULAR,USD,call
SPY250221C00525000,2025-01-22 14:59:05+00:00,525.0,83.97,84.68,84.82,0.0,0.0,1.0,356,0.38049935913085936,True,REGULAR,USD,call
SPY250221C00526000,2025-01-21 19:45:18+00:00,526.0,78.64,83.8,83.95,0.0,0.0,1.0,8,0.38147591186523433,True,REGULAR,USD,call
SPY250221C00527000,2025-01-16 19:26:19+00:00,527.0,68.6,82.82,82.95,0.0,0.0,2.0,198,0.3776917700195312,True,REGULAR,USD,call
SPY250221C00528000,2025-01-07 14:54:16+00:00,528.0,73.01,81.75,81.89,0.0,0.0,1.0,663,0.37164934997558596,True,REGULAR,USD,call
SPY250221C00529000,2025-01-03 14:41:48+00:00,529.0,65.27,80.66,80.79,0.0,0.0,5.0,203,0.3642031353759766,True,REGULAR,USD,call
SPY250221C00530000,2025-01-23 15:22:03+00:00,530.0,78.4,79.77,79.9,-1.0,-1.2594458,1.0,387,0.36438623901367195,True,REGULAR,USD,call
SPY250221C00531000,2025-01-08 15:56:51+00:00,531.0,61.94,78.86,78.99,0.0,0.0,2.0,1,0.36377589355468753,True,REGULAR,USD,call
SPY250221C00532000,2024-12-19 15:49:26+00:00,532.0,65.32,68.16,68.49,0.0,0.0,6.0,96,1.0000000000000003e-05,True,REGULAR,USD,call
SPY250221C00533000,2025-01-17 15:16:47+00:00,533.0,67.22,76.78,76.92,0.0,0.0,7.0,325,0.35370519348144525,True,REGULAR,USD,call
SPY250221C00534000,2025-01-03 20:30:01+00:00,534.0,62.83,75.76,75.88,0.0,0.0,24.0,332,0.3485172570800781,True,REGULAR,USD,call
SPY250221C00535000,2025-01-23 15:39:03+00:00,535.0,73.87,74.87,75.0,-0.4399948,-0.5921072,4.0,201,0.34882242980957034,True,REGULAR,USD,call
SPY250221C00536000,2025-01-17 17:59:25+00:00,536.0,66.04,73.83,73.97,0.0,0.0,1.0,204,0.34400070068359373,True,REGULAR,USD,call
SPY250221C00537000,2025-01-10 15:11:28+00:00,537.0,48.32,72.74,72.87,0.0,0.0,1.0,103,0.33673758972167966,True,REGULAR,USD,call
SPY250221C00538000,2025-01-10 15:11:28+00:00,538.0,47.41,71.84,71.97,0.0,0.0,1.0,105,0.3363103479003906,True,REGULAR,USD,call
SPY250221C00539000,2025-01-21 18:06:50+00:00,539.0,66.23,70.95,71.08,0.0,0.0,2.0,25,0.33612724426269536,True,REGULAR,USD,call
SPY250221C00540000,2025-01-23 16:44:42+00:00,540.0,70.02,69.84,69.98,-0.3199997,-0.45493278,5.0,995,0.32898620239257803,True,REGULAR,USD,call
SPY250221C00541000,2025-01-10 15:11:28+00:00,541.0,44.7,68.88,69.01,0.0,0.0,1.0,398,0.3261175787353515,True,REGULAR,USD,call
SPY250221C00542000,2025-01-08 19:12:31+00:00,542.0,51.98,67.91,68.04,0.0,0.0,1.0,352,0.3232489550781249,True,REGULAR,USD,call
SPY250221C00543000,2025-01-08 19:12:31+00:00,543.0,51.05,66.87,67.0,0.0,0.0,1.0,544,0.3181220532226562,True,REGULAR,USD,call
SPY250221C00544000,2025-01-21 19:36:46+00:00,544.0,60.95,65.89,66.03,0.0,0.0,1.0,10,0.31525342956542957,True,REGULAR,USD,call
SPY250221C00545000,2025-01-23 16:44:42+00:00,545.0,65.09,64.96,65.09,5.109997,8.519502,5.0,365,0.3133003240966796,True,REGULAR,USD,call
SPY250221C00546000,2025-01-10 15:11:28+00:00,546.0,40.27,63.93,64.06,0.0,0.0,1.0,64,0.30847859497070307,True,REGULAR,USD,call
SPY250221C00547000,2025-01-22 14:55:59+00:00,547.0,62.29,62.99,63.12,0.0,0.0,6.0,140,0.3064644549560547,True,REGULAR,USD,call
SPY250221C00548000,2025-01-16 20:48:14+00:00,548.0,48.84,61.98,62.11,0.0,0.0,2.0,23,0.30225307128906254,True,REGULAR,USD,call
SPY250221C00549000,2025-01-10 16:38:46+00:00,549.0,37.18,61.02,61.15,0.0,0.0,2.0,231,0.2995675512695312,True,REGULAR,USD,call
SPY250221C00550000,2025-01-23 15:44:16+00:00,550.0,59.16,59.99,60.12,-0.84000015,-1.4000002,1.0,7569,0.29480685668945306,True,REGULAR,USD,call
SPY250221C00551000,2025-01-22 20:41:03+00:00,551.0,58.84,59.06,59.19,0.0,0.0,1.0,293,0.2929758203124999,True,REGULAR,USD,call
SPY250221C00552000,2025-01-23 15:14:19+00:00,552.0,56.83,58.08,58.21,-1.8099976,-3.086626,2.0,603,0.2896189202880859,True,REGULAR,USD,call
SPY250221C00553000,2025-01-15 20:29:40+00:00,553.0,45.11,57.05,57.18,0.0,0.0,1.0,60,0.2848582257080078,True,REGULAR,USD,call
SPY250221C00554000,2025-01-08 17:31:14+00:00,554.0,38.57,56.08,56.21,0.0,0.0,1.0,30,0.2818064984130859,True,REGULAR,USD,call
SPY250221C00555000,2025-01-23 14:55:01+00:00,555.0,54.19,55.12,55.25,-0.8100014,-1.4727298,2.0,11269,0.27899890930175775,True,REGULAR,USD,call
SPY250221C00556000,2025-01-17 14:49:50+00:00,556.0,44.8,54.16,54.28,0.0,0.0,7.0,130,0.2758861474609374,True,REGULAR,USD,call
SPY250221C00557000,2025-01-17 19:59:24+00:00,557.0,45.29,53.14,53.27,0.0,0.0,1.0,215,0.2716747637939453,True,REGULAR,USD,call
SPY250221C00558000,2025-01-21 17:29:38+00:00,558.0,47.07,52.19,52.31,0.0,0.0,22.0,214,0.2688061401367187,True,REGULAR,USD,call
SPY250221C00559000,2025-01-17 20:49:50+00:00,559.0,43.34,51.23,51.36,0.0,0.0,2.0,63,0.26618165466308596,True,REGULAR,USD,call
