contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,type,expirationDate,midprice,smoothed_midprice
SPY250221C00485000,2025-01-13 17:00:38+00:00,485.0,93.97,123.97,124.68,0.0,0.0,39.0,65,0.5089160437011719,call,2025-02-21,124.325,124.38127690491076
SPY250221C00490000,2025-01-22 16:05:48+00:00,490.0,118.7,119.03,119.66,0.0,0.0,3.0,22,0.5067188000488281,call,2025-02-21,119.345,119.44366058960281
SPY250221C00495000,2025-01-22 16:01:09+00:00,495.0,113.56,114.09,114.71,0.0,0.0,1.0,31,0.4899342999267578,call,2025-02-21,114.4,114.54719261032861
SPY250221C00500000,2025-01-22 20:50:27+00:00,500.0,109.02,109.12,109.78,0.0,0.0,51.0,630,0.4739432489013672,call,2025-02-21,109.45,109.72756530833038
SPY250221C00505000,2025-01-22 14:55:04+00:00,505.0,103.68,104.56,104.7,0.0,0.0,3.0,673,0.4513604669189454,call,2025-02-21,104.63,105.0431485101198
SPY250221C00510000,2025-01-23 14:48:30+00:00,510.0,98.53,99.6,99.73,0.19000244,0.19320972,1.0,982,0.4337214831542969,call,2025-02-21,99.66499999999999,100.57714274839043
SPY250221C00515000,2025-01-22 17:20:12+00:00,515.0,95.08,94.33,94.85,0.0,0.0,2.0,296,0.4196225030517578,call,2025-02-21,94.59,96.43033206106197
SPY250221C00520000,2025-01-21 16:11:51+00:00,520.0,83.21,89.68,89.82,0.0,0.0,5.0,411,0.399420068359375,call,2025-02-21,89.75,92.70243958404043
SPY250221C00525000,2025-01-22 14:59:05+00:00,525.0,83.97,84.68,84.82,0.0,0.0,1.0,356,0.3804993591308593,call,2025-02-21,84.75,89.46641069655251
SPY250221C00526000,2025-01-21 19:45:18+00:00,526.0,78.64,83.8,83.95,0.0,0.0,1.0,8,0.3814759118652343,call,2025-02-21,83.875,86.74577171839329
SPY250221C00527000,2025-01-16 19:26:19+00:00,527.0,68.6,82.82,82.95,0.0,0.0,2.0,198,0.3776917700195312,call,2025-02-21,82.88499999999999,84.50598363791298
SPY250221C00528000,2025-01-07 14:54:16+00:00,528.0,73.01,81.75,81.89,0.0,0.0,1.0,663,0.3716493499755859,call,2025-02-21,81.82,82.66460601444439
SPY250221C00529000,2025-01-03 14:41:48+00:00,529.0,65.27,80.66,80.79,0.0,0.0,5.0,203,0.3642031353759766,call,2025-02-21,80.725,81.11565544616806
SPY250221C00530000,2025-01-23 15:22:03+00:00,530.0,78.4,79.77,79.9,-1.0,-1.2594458,1.0,387,0.3643862390136719,call,2025-02-21,79.83500000000001,79.75714175455414
SPY250221C00531000,2025-01-08 15:56:51+00:00,531.0,61.94,78.86,78.99,0.0,0.0,2.0,1,0.3637758935546875,call,2025-02-21,78.925,78.51082497442505
