Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"CLY00 (Cash)",73.17,0.68000000000001,73.17,73.17,73.17,72.49,N/A,N/A,2025-02-03
"CLH25 (Mar '25)",72.75,-0.41,72.35,73.35,70.67,73.16,428594,292177,"15:59 CT"
"CLJ25 (Apr '25)",72.29,-0.1,71.79,72.87,70.25,72.39,235960,163209,"15:59 CT"
"CLK25 (May '25)",71.81,0.17,71.23,72.28,69.8,71.64,132610,132016,"15:58 CT"
"CLM25 (Jun '25)",71.26,0.32000000000001,70.64,71.67,69.33,70.94,158605,174647,"15:58 CT"
"CLN25 (Jul '25)",70.71,0.39,70.15,71.06,68.87,70.32,54205,90576,"15:58 CT"
"CLQ25 (Aug '25)",70.14,0.41,69.64,70.47,68.39,69.73,32323,51682,"15:58 CT"
"CLU25 (Sep '25)",69.61,0.44,69.08,69.9,67.93,69.17,44006,105239,"15:55 CT"
"CLV25 (Oct '25)",69.08,0.44,68.41,69.31,67.51,68.64,13996,57195,"14:37 CT"
"CLX25 (Nov '25)",68.66,0.48999999999999,67.96,68.83,67.15,68.17,7432,46067,"14:38 CT"
"CLJ26 (Apr '26)",67.04,0.55000000000001,0,67.04,67.04,66.49,1861,13466,"15:56 CT"
"CLK26 (May '26)",66.84,0.55,0,66.84,66.84,66.29,452,13119,"15:56 CT"
"CLZ25 (Dec '25)",68.21,0.45999999999999,67.68,68.47,66.73,67.75,87595,164209,"15:59 CT"
"CLN26 (Jul '26)",66.43,0.55000000000001,0,66.43,66.43,65.88,119,15257,"15:56 CT"
"CLF26 (Jan '26)",67.89,0.52,67.2,68.02,66.42,67.37,2413,41964,"13:53 CT"
"CLQ26 (Aug '26)",66.21,0.53999999999999,0,66.21,66.21,65.67,118,10234,"15:56 CT"
"CLG26 (Feb '26)",67.55,0.52,66.79,67.58,66.19,67.03,3487,26712,"13:53 CT"
"CLU26 (Sep '26)",66.03,0.53,0,66.03,66.03,65.5,461,19755,"15:58 CT"
"CLH26 (Mar '26)",67.31,0.57,66,67.31,65.99,66.74,4633,44146,"13:53 CT"
"CLV26 (Oct '26)",65.86,0.51000000000001,0,65.86,65.86,65.35,10,12415,"15:56 CT"
"CLX26 (Nov '26)",65.72,0.5,0,65.72,65.72,65.22,111,11162,"16:00 CT"
"CLF27 (Jan '27)",65.42,0.47,0,65.42,65.42,64.95,26,5567,"15:56 CT"
"CLM26 (Jun '26)",66.56,0.46000000000001,66.16,66.82,65.34,66.1,14158,88153,"15:55 CT"
"CLG27 (Feb '27)",65.26,0.46000000000001,0,65.26,65.26,64.8,11,2150,"15:56 CT"
"CLH27 (Mar '27)",65.13,0.47,0,65.13,65.13,64.66,56,6989,"15:58 CT"
"CLJ27 (Apr '27)",65.02,0.47999999999999,0,65.02,65.02,64.54,N/A,1137,"15:56 CT"
"CLK27 (May '27)",64.91,0.45,0,64.91,64.91,64.46,1,1946,"15:56 CT"
"CLN27 (Jul '27)",64.69,0.45,0,64.69,64.69,64.24,N/A,1829,"15:56 CT"
"CLQ27 (Aug '27)",64.58,0.44,0,64.58,64.58,64.14,N/A,789,"14:54 CT"
"CLU27 (Sep '27)",64.49,0.42999999999999,0,64.49,64.49,64.06,N/A,5119,"15:58 CT"
