Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"CLY00 (Cash)",72.7,-0.47,72.7,72.7,72.7,73.17,N/A,N/A,2025-02-04
"CLH25 (Mar '25)",71.25,-1.45,72.76,72.97,70.96,72.7,254872,276301,"14:15 CT"
"CLJ25 (Apr '25)",70.93,-1.41,72.34,72.53,70.69,72.34,137886,169388,"14:14 CT"
"CLK25 (May '25)",70.51,-1.36,71.81,71.99,70.3,71.87,65745,128304,"14:14 CT"
"CLM25 (Jun '25)",70.05,-1.29,71.25,71.46,69.85,71.34,69461,173519,"14:14 CT"
"CLN25 (Jul '25)",69.55,-1.24,70.69,70.89,69.38,70.79,27468,87379,"14:13 CT"
"CLQ25 (Aug '25)",69.04,-1.19,70.14,70.31,68.9,70.23,24769,51904,"14:12 CT"
"CLU25 (Sep '25)",68.58,-1.12,69.59,69.62,68.42,69.7,23163,101749,"14:14 CT"
"CLV25 (Oct '25)",68,-1.19,68.89,69.15,67.97,69.19,7686,57385,"13:31 CT"
"CLX25 (Nov '25)",67.59,-1.14,68.67,68.67,67.57,68.73,7480,46147,"13:31 CT"
"CLZ25 (Dec '25)",67.34,-0.98,68.18,68.39,67.2,68.32,43288,165787,"14:15 CT"
"CLF26 (Jan '26)",66.89,-1.03,67.75,67.91,66.86,67.92,2721,41616,"13:36 CT"
"CLG26 (Feb '26)",66.59,-0.99,67.41,67.41,66.56,67.58,1350,26885,"13:36 CT"
"CLH26 (Mar '26)",66.33,-0.96,0,66.33,66.33,67.29,3261,45001,"14:13 CT"
"CLJ26 (Apr '26)",66.11,-0.93,0,66.11,66.11,67.04,3111,14176,"14:14 CT"
"CLK26 (May '26)",65.94,-0.9,0,65.94,65.94,66.84,163,13002,"14:13 CT"
"CLM26 (Jun '26)",65.89,-0.76,66.5,66.71,65.74,66.65,10380,90147,"14:14 CT"
"CLN26 (Jul '26)",65.6,-0.83,0,65.6,65.6,66.43,293,15259,"14:15 CT"
"CLQ26 (Aug '26)",65.42,-0.79,0,65.42,65.42,66.21,131,10235,"14:14 CT"
"CLU26 (Sep '26)",65.27,-0.76,0,65.27,65.27,66.03,425,19824,"14:15 CT"
"CLV26 (Oct '26)",65.1,-0.76,65.1,65.13,65.1,65.86,41,12416,"13:36 CT"
"CLX26 (Nov '26)",65.02,-0.7,0,65.02,65.02,65.72,33,11210,"14:12 CT"
"CLZ26 (Dec '26)",65,-0.59,65.4,65.67,64.83,65.59,12633,75343,"14:13 CT"
"CLF27 (Jan '27)",64.77,-0.65,0,64.77,64.77,65.42,17,5592,"14:15 CT"
"CLG27 (Feb '27)",64.63,-0.63,0,64.63,64.63,65.26,N/A,2161,"14:14 CT"
"CLH27 (Mar '27)",64.52,-0.61,0,64.52,64.52,65.13,55,6994,"14:15 CT"
"CLJ27 (Apr '27)",64.42,-0.6,0,64.42,64.42,65.02,N/A,1137,"14:15 CT"
"CLK27 (May '27)",64.34,-0.57,0,64.34,64.34,64.91,N/A,1947,"14:14 CT"
"CLM27 (Jun '27)",64.27,-0.55,0,64.27,64.27,64.82,492,21393,"14:15 CT"
"CLN27 (Jul '27)",64.15,-0.54,0,64.15,64.15,64.69,N/A,1829,"14:14 CT"
"CLQ27 (Aug '27)",64.06,-0.52,0,64.06,64.06,64.58,N/A,789,"13:36 CT"
"CLU27 (Sep '27)",63.99,-0.5,0,63.99,63.99,64.49,4,5119,"14:14 CT"
"CLV27 (Oct '27)",63.93,-0.48,0,63.93,63.93,64.41,N/A,811,"13:36 CT"
"CLX27 (Nov '27)",63.89,-0.45,0,63.89,63.89,64.34,N/A,2104,"14:15 CT"
"CLZ27 (Dec '27)",63.84,-0.43,64.16,64.34,63.81,64.27,3035,47139,"13:41 CT"
"CLF28 (Jan '28)",63.73,-0.43,0,63.73,63.73,64.16,N/A,1846,"13:36 CT"
"CLG28 (Feb '28)",63.65,-0.42,0,63.65,63.65,64.07,N/A,134,"13:36 CT"
"CLH28 (Mar '28)",63.59,-0.41,0,63.59,63.59,64,N/A,11,"13:36 CT"
"CLJ28 (Apr '28)",63.54,-0.39,0,63.54,63.54,63.93,N/A,N/A,"13:36 CT"
"CLK28 (May '28)",63.52,-0.37,0,63.52,63.52,63.89,N/A,N/A,"13:36 CT"
"CLM28 (Jun '28)",63.48,-0.36,0,63.48,63.48,63.84,27,2461,"14:15 CT"
"CLN28 (Jul '28)",63.43,-0.35,0,63.43,63.43,63.78,N/A,N/A,"13:36 CT"
"CLQ28 (Aug '28)",63.37,-0.34,0,63.37,63.37,63.71,N/A,N/A,"13:36 CT"
"CLU28 (Sep '28)",63.33,-0.33,0,63.33,63.33,63.66,N/A,N/A,"13:36 CT"
"CLV28 (Oct '28)",63.3,-0.31,0,63.3,63.3,63.61,N/A,900,"13:36 CT"
"CLX28 (Nov '28)",63.25,-0.3,0,63.25,63.25,63.55,N/A,2000,"13:36 CT"
"CLZ28 (Dec '28)",63.29,-0.2,63.29,63.29,63.2,63.49,637,15559,"13:36 CT"
"CLF29 (Jan '29)",63.11,-0.28,0,63.11,63.11,63.39,N/A,200,"13:36 CT"
"CLG29 (Feb '29)",63.05,-0.27,0,63.05,63.05,63.32,N/A,750,"13:36 CT"
"CLH29 (Mar '29)",63.01,-0.27,0,63.01,63.01,63.28,N/A,N/A,"13:36 CT"
"CLJ29 (Apr '29)",62.99,-0.26,0,62.99,62.99,63.25,N/A,N/A,"13:36 CT"
"CLK29 (May '29)",62.97,-0.25,0,62.97,62.97,63.22,N/A,N/A,"13:36 CT"
"CLM29 (Jun '29)",62.95,-0.24,0,62.95,62.95,63.19,N/A,996,"13:36 CT"
"CLN29 (Jul '29)",62.91,-0.23,0,62.91,62.91,63.14,N/A,N/A,"13:36 CT"
"CLQ29 (Aug '29)",62.86,-0.23,0,62.86,62.86,63.09,N/A,N/A,"13:36 CT"
"CLU29 (Sep '29)",62.84,-0.22,0,62.84,62.84,63.06,N/A,N/A,"13:36 CT"
"CLV29 (Oct '29)",62.81,-0.21,0,62.81,62.81,63.02,N/A,N/A,"13:36 CT"
"CLX29 (Nov '29)",62.79,-0.21,0,62.79,62.79,63,N/A,N/A,"13:36 CT"
"CLZ29 (Dec '29)",63,0.03,62.91,63.07,62.77,62.97,189,6137,"13:36 CT"
"CLF30 (Jan '30)",62.7,-0.2,0,62.7,62.7,62.9,N/A,N/A,"13:36 CT"
"CLG30 (Feb '30)",62.65,-0.19,0,62.65,62.65,62.84,N/A,N/A,"13:36 CT"
