Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"CLH30 (Mar '30)",62.62,-0.19,0,62.62,62.62,62.81,N/A,50,"13:36 CT"
"CLJ30 (Apr '30)",62.59,-0.18,0,62.59,62.59,62.77,N/A,N/A,"13:36 CT"
"CLK30 (May '30)",62.57,-0.18,0,62.57,62.57,62.75,N/A,N/A,"13:36 CT"
"CLM30 (Jun '30)",62.55,-0.17,0,62.55,62.55,62.72,N/A,51,"13:36 CT"
"CLN30 (Jul '30)",62.52,-0.16,0,62.52,62.52,62.68,N/A,N/A,"13:36 CT"
"CLQ30 (Aug '30)",62.45,-0.16,0,62.45,62.45,62.61,N/A,N/A,"13:36 CT"
"CLU30 (Sep '30)",62.43,-0.15,0,62.43,62.43,62.58,N/A,N/A,"13:36 CT"
"CLV30 (Oct '30)",62.43,-0.14,0,62.43,62.43,62.57,N/A,N/A,"13:36 CT"
"CLZ30 (Dec '30)",62.6,0.05,62.55,62.6,62.42,62.55,21,2698,"13:36 CT"
"CLX30 (Nov '30)",62.4,-0.14,0,62.4,62.4,62.54,N/A,N/A,"13:36 CT"
"CLF31 (Jan '31)",62.34,-0.12,0,62.34,62.34,62.46,N/A,N/A,"13:36 CT"
"CLG31 (Feb '31)",62.29,-0.11,0,62.29,62.29,62.4,N/A,N/A,"13:36 CT"
"CLH31 (Mar '31)",62.24,-0.11,0,62.24,62.24,62.35,N/A,N/A,"13:36 CT"
"CLK31 (May '31)",62.23,-0.09,0,62.23,62.23,62.32,N/A,N/A,"13:36 CT"
"CLM31 (Jun '31)",62.23,-0.08,0,62.23,62.23,62.31,N/A,N/A,"13:36 CT"
"CLJ31 (Apr '31)",62.22,-0.1,0,62.22,62.22,62.32,N/A,N/A,"13:36 CT"
"CLN31 (Jul '31)",62.2,-0.07,0,62.2,62.2,62.27,N/A,4,"13:36 CT"
"CLU31 (Sep '31)",62.19,-0.05,0,62.19,62.19,62.24,N/A,N/A,"13:36 CT"
"CLQ31 (Aug '31)",62.18,-0.06,0,62.18,62.18,62.24,N/A,N/A,"13:36 CT"
"CLV31 (Oct '31)",62.17,-0.04,0,62.17,62.17,62.21,N/A,N/A,"13:36 CT"
"CLX31 (Nov '31)",62.16,-0.03,0,62.16,62.16,62.19,N/A,N/A,"13:36 CT"
"CLZ31 (Dec '31)",62.14,-0.02,0,62.14,62.14,62.16,5,845,"14:13 CT"
"CLF32 (Jan '32)",62.07,-0.02,0,62.07,62.07,62.09,N/A,N/A,"13:36 CT"
"CLG32 (Feb '32)",62.02,-0.02,0,62.02,62.02,62.04,N/A,N/A,"13:36 CT"
"CLH32 (Mar '32)",61.96,-0.02,0,61.96,61.96,61.98,N/A,N/A,"13:36 CT"
"CLJ32 (Apr '32)",61.93,-0.01,0,61.93,61.93,61.94,N/A,N/A,"13:36 CT"
"CLK32 (May '32)",61.9,-0.01,0,61.9,61.9,61.91,N/A,N/A,"13:36 CT"
"CLM32 (Jun '32)",61.89,-0.01,0,61.89,61.89,61.9,N/A,N/A,"13:36 CT"
"CLN32 (Jul '32)",61.87,0.009999999999998,0,61.87,61.87,61.86,N/A,N/A,"13:36 CT"
"CLQ32 (Aug '32)",61.84,0.020000000000003,0,61.84,61.84,61.82,N/A,N/A,"13:36 CT"
"CLU32 (Sep '32)",61.84,0.040000000000006,0,61.84,61.84,61.8,N/A,N/A,"13:36 CT"
"CLV32 (Oct '32)",61.82,0.060000000000002,0,61.82,61.82,61.76,N/A,N/A,"13:36 CT"
"CLZ32 (Dec '32)",61.82,0.090000000000003,0,61.82,61.82,61.73,N/A,679,"13:36 CT"
"CLX32 (Nov '32)",61.8,0.07,0,61.8,61.8,61.73,N/A,N/A,"13:36 CT"
"CLF33 (Jan '33)",61.76,0.1,0,61.76,61.76,61.66,N/A,N/A,"13:36 CT"
"CLG33 (Feb '33)",61.72,0.11,0,61.72,61.72,61.61,N/A,N/A,"13:36 CT"
"CLH33 (Mar '33)",61.68,0.12,0,61.68,61.68,61.56,N/A,N/A,"13:36 CT"
"CLJ33 (Apr '33)",61.65,0.13,0,61.65,61.65,61.52,N/A,N/A,"13:36 CT"
"CLK33 (May '33)",61.63,0.14,0,61.63,61.63,61.49,N/A,N/A,"13:36 CT"
"CLM33 (Jun '33)",61.63,0.16,0,61.63,61.63,61.47,N/A,N/A,"13:36 CT"
"CLN33 (Jul '33)",61.6,0.17,0,61.6,61.6,61.43,N/A,N/A,"13:36 CT"
"CLQ33 (Aug '33)",61.58,0.18,0,61.58,61.58,61.4,N/A,N/A,"13:36 CT"
"CLU33 (Sep '33)",61.56,0.19,0,61.56,61.56,61.37,N/A,N/A,"13:36 CT"
"CLV33 (Oct '33)",61.53,0.2,0,61.53,61.53,61.33,N/A,N/A,"13:36 CT"
"CLX33 (Nov '33)",61.5,0.21,0,61.5,61.5,61.29,N/A,N/A,"13:36 CT"
"CLZ33 (Dec '33)",61.48,0.22,0,61.48,61.48,61.26,N/A,29,"13:36 CT"
"CLF34 (Jan '34)",61.41,0.22,0,61.41,61.41,61.19,N/A,N/A,"13:36 CT"
"CLG34 (Feb '34)",61.37,0.23,0,61.37,61.37,61.14,N/A,N/A,"13:36 CT"
"CLH34 (Mar '34)",61.33,0.23,0,61.33,61.33,61.1,N/A,N/A,"13:36 CT"
"CLJ34 (Apr '34)",61.3,0.23999999999999,0,61.3,61.3,61.06,N/A,N/A,"13:36 CT"
"CLK34 (May '34)",61.27,0.24,0,61.27,61.27,61.03,N/A,N/A,"13:36 CT"
"CLM34 (Jun '34)",61.26,0.25,0,61.26,61.26,61.01,N/A,N/A,"13:36 CT"
"CLN34 (Jul '34)",61.22,0.25,0,61.22,61.22,60.97,N/A,N/A,"13:36 CT"
"CLQ34 (Aug '34)",61.19,0.25,0,61.19,61.19,60.94,N/A,N/A,"13:36 CT"
"CLU34 (Sep '34)",61.16,0.26,0,61.16,61.16,60.9,N/A,N/A,"13:36 CT"
"CLV34 (Oct '34)",61.12,0.26,0,61.12,61.12,60.86,N/A,N/A,"13:36 CT"
"CLX34 (Nov '34)",61.09,0.27,0,61.09,61.09,60.82,N/A,N/A,"13:36 CT"
"CLZ34 (Dec '34)",61.06,0.27,0,61.06,61.06,60.79,N/A,N/A,"13:36 CT"
"CLF35 (Jan '35)",60.99,0.27,0,60.99,60.99,60.72,0,0,"13:36 CT"
"CLG35 (Feb '35)",60.94,0.27,0,60.94,60.94,60.67,N/A,N/A,"13:36 CT"
"CLH35 (Mar '35)",60.89,0.27,0,60.89,60.89,60.62,N/A,N/A,"13:36 CT"
"CLJ35 (Apr '35)",60.86,0.27,0,60.86,60.86,60.59,N/A,N/A,"13:36 CT"
"CLK35 (May '35)",60.84,0.27,0,60.84,60.84,60.57,N/A,N/A,"13:36 CT"
"CLM35 (Jun '35)",60.82,0.27,0,60.82,60.82,60.55,N/A,N/A,"13:36 CT"
"CLN35 (Jul '35)",60.77,0.27,0,60.77,60.77,60.5,N/A,N/A,"13:36 CT"
"CLQ35 (Aug '35)",60.73,0.27,0,60.73,60.73,60.46,N/A,N/A,"13:36 CT"
"CLU35 (Sep '35)",60.69,0.27,0,60.69,60.69,60.42,N/A,N/A,"13:36 CT"
"CLV35 (Oct '35)",60.66,0.27,0,60.66,60.66,60.39,N/A,N/A,"13:36 CT"
"CLX35 (Nov '35)",60.64,0.27,0,60.64,60.64,60.37,N/A,N/A,"13:36 CT"
"CLZ35 (Dec '35)",60.61,0.27,0,60.61,60.61,60.34,N/A,N/A,"13:36 CT"
"CLF36 (Jan '36)",60.54,0.27,0,60.54,60.54,60.27,N/A,N/A,"13:36 CT"
"CLG36 (Feb '36)",60.48,0.27,0,60.48,60.48,60.21,N/A,N/A,"13:36 CT"
"Downloaded from Barchart.com as of 02-05-2025 02:25pm CST"
