timestamp,filename,alpha,rho,nu,beta,MSE,RMSE,mean,variance,stdev,skewness,kurtosis,totalprob
2025-02-07 18:58:07,clj25-options-monthly-options-exp-03_17_25-show-all-stacked-intraday-01-31-2025 (0)_cleaned.csv,8.915971130459821,-0.5975212466834335,3.6552045518581786,0.2,0.00030351936690699934,0.01742180722275962,71.39816712912254,101.87726559906332,10.093426851127585,-1.7576869299857762,10.237818777815031,0.9953814639003598
2025-02-07 18:58:25,clj25-options-monthly-options-exp-03_17_25-show-all-stacked-intraday-01-31-2025 (1)_cleaned.csv,7.178697308423556,-0.6036833242672097,3.8739203027556393,0.25,0.000309219566479482,0.017584640072503103,71.45300421881991,99.53567581660536,9.976756778462898,-1.7045537929152628,10.038985128861508,0.9937993085498497
2025-02-07 18:58:48,clj25-options-monthly-options-exp-03_17_25-show-all-stacked-intraday-01-31-2025 (2)_cleaned.csv,7.183812796187502,-0.6031795853557194,3.870461088077755,0.25,0.00031106579253219066,0.017637057366017457,71.45209573706063,99.66851289381975,9.983411886415373,-1.7012103176544617,10.020141318505145,0.993802352340714
2025-02-07 18:59:29,clj25-options-monthly-options-exp-03_17_25-show-all-stacked-intraday-01-31-2025 (3)_cleaned.csv,8.929466092579336,-0.5959037181317963,3.6465502056608208,0.2,0.00030962649305464515,0.017596206780287765,71.3954584814667,102.178093307376,10.108318025634928,-1.7483099147734376,10.190013139222375,0.9953866212768937
2025-02-07 18:59:57,clj25-options-monthly-options-exp-03_17_25-show-all-stacked-intraday-01-31-2025 (4)_cleaned.csv,8.954378527220879,-0.594585497999696,3.6386095709906785,0.2,0.0003072717187692865,0.01752916765762957,71.39476832434192,102.63800620183429,10.131041713557115,-1.7379969288231656,10.131123419557369,0.9953726462836895
2025-02-07 19:00:20,clj25-options-monthly-options-exp-03_17_25-show-all-stacked-intraday-02-03-2025 (0)_cleaned.csv,7.24866421079129,-0.509630140629868,3.50257918529816,0.25,0.0005243681676302069,0.0228990866112648,71.25954575840011,105.83270201543019,10.287502224322004,-1.3435943088662725,8.70344534916434,0.9950992258660473
2025-02-07 19:00:44,clj25-options-monthly-options-exp-03_17_25-show-all-stacked-intraday-02-03-2025 (1)_cleaned.csv,7.24866421079129,-0.509630140629868,3.50257918529816,0.25,0.0005243681676302069,0.0228990866112648,71.25954575840011,105.83270201543019,10.287502224322004,-1.3435943088662725,8.70344534916434,0.9950992258660473
2025-02-07 19:01:09,clj25-options-monthly-options-exp-03_17_25-show-all-stacked-intraday-02-03-2025 (2)_cleaned.csv,4.491481060537557,-0.5556378472710826,4.15382434535567,0.35,0.00036620705806726547,0.019136537253831097,71.35556392733496,97.08843507075017,9.853346389463336,-1.4542570410110147,9.24950905903799,0.9932017948859688
2025-02-07 19:01:30,clj25-options-monthly-options-exp-03_17_25-show-all-stacked-intraday-02-03-2025 (3)_cleaned.csv,5.533747993202239,-0.5589855071419965,3.9546841398887036,0.3,0.0003304009457721245,0.018176934443742833,71.35156762460207,95.66697308168932,9.780949497962318,-1.5374402495297008,9.693530072227919,0.9938618424401026
2025-02-07 19:01:45,clj25-options-monthly-options-exp-03_17_25-show-all-stacked-intraday-02-03-2025 (4)_cleaned.csv,8.555744162139284,-0.5474941682628469,3.5257141507618193,0.2,0.0003267340421398786,0.01807578607253025,71.27595877955827,98.72749540547375,9.936171063617703,-1.6392332302941561,10.132364164730634,0.9962031096539097
2025-02-07 19:02:04,clj25-options-monthly-options-exp-03_17_25-show-all-stacked-intraday-02-04-2025 (0)_cleaned.csv,7.190730255752377,-0.6961223441148954,4.296231028933255,0.25,0.00054605914754202,0.023367908497382045,71.67314348346942,91.30446875648431,9.555337186959145,-2.110885123494173,11.74484975479139,0.9924233605342648
2025-02-07 19:02:26,clj25-options-monthly-options-exp-03_17_25-show-all-stacked-intraday-02-04-2025 (1)_cleaned.csv,4.656983094308021,-0.7061691259766578,4.925413682793835,0.35,0.0005842914245318811,0.024172120811626792,71.76091686302647,87.02163544631458,9.328538762652732,-2.032446371347716,11.426734453455536,0.9895388205006046
2025-02-07 19:03:04,clj25-options-monthly-options-exp-03_17_25-show-all-stacked-intraday-02-04-2025 (2)_cleaned.csv,5.7625600810727144,-0.7045582793479941,4.622466821666672,0.3,0.0005579100254510893,0.023620119082068347,71.73296079095066,87.74784234880462,9.367381829988815,-2.09353489793442,11.753869539591468,0.9907666730171062
2025-02-07 19:03:35,clj25-options-monthly-options-exp-03_17_25-show-all-stacked-intraday-02-04-2025 (3)_cleaned.csv,7.179620906667518,-0.6553406334595953,4.051305242725192,0.25,0.0013794004520672348,0.03714028072143821,71.54728196532007,95.49167173771912,9.771984022588203,-1.9140073601613565,10.799283459647686,0.9932754805535619
2025-02-07 19:03:55,clj25-options-monthly-options-exp-03_17_25-show-all-stacked-intraday-02-04-2025 (4)_cleaned.csv,4.573574814974411,-0.6860314858035412,4.789457748515049,0.35,0.0012242702461800299,0.03498957339236976,71.67519055221052,87.71353314395583,9.365550338552232,-1.9629210700995219,11.167058352106258,0.9903809453347845
2025-02-07 19:04:05,clj25-options-monthly-options-exp-03_17_25-show-all-stacked-intraday-02-04-2025 (5)_cleaned.csv,4.474613522976442,-0.6702053767467999,4.734064719350366,0.35,0.0010552479236683914,0.03248457978285069,71.6241432846277,86.84280852633492,9.31894889600404,-1.9288983803034812,11.186211199570131,0.9908863501250723
